###,Swallow-ethernet Module positions,,,,
###,,,,,
##,,,,,
##,,,,,
Ref,Val,PosX,PosY,Rotation,Side
C1,10n,0.1717,1.6327,0,Front
C2,47n,1.5595,2.3536,270,Front
C3,100n,1.2372,2.3347,0,Front
C4,100n,1.6882,0.2201,270,Front
C5,10uF,1.5831,0.2012,0,Front
C6,100n,1.2047,1.9459,270,Front
C7,100n,0.752,1.5985,90,Front
C8,100n,0.8927,1.127,180,Front
C9,100n,1.6693,1.7943,270,Front
C10,100n,1.6349,1.566,180,Front
C11,10u,0.6614,2.067,180,Front
C12,100n,0.8199,1.5985,90,Front
C13,100n,0.8681,1.2117,90,Front
C14,100n,1.1467,1.9459,270,Front
C15,100n,1.5423,1.8494,0,Front
C16,10u,1.6112,1.3061,90,Front
C17,10u,0.2343,1.7914,0,Front
C18,10u,0.2382,2.2136,0,Front
C19,33p,0.2175,2.437,0,Front
C20,33p,0.2248,2.072,0,Front
C21,10u,0.4114,2.2107,180,Front
C22,10u,0.4106,1.7985,180,Front
C23,100n,0.7854,2.3721,180,Front
D1,MEM_LED,1.9321,2.0296,0,Front
D2,L1_LED,1.9321,2.1093,0,Front
D3,POWER_OK,1.9321,2.193,0,Front
D4,RESET,1.9321,2.2786,0,Front
L1,2.2uH,0.5394,2.312,0,Front
L2,2.2uH,0.5252,1.9091,0,Front
P2,XMP16_TR_Link,2.4705,0.4532,90,Front
P3,TR_Link_Out,0.0457,0.4532,270,Front
R1,33R,0.7673,1.2992,270,Front
R2,33R,0.8209,1.313,180,Front
R5,4R7,1.2589,1.94,270,Front
R6,100k,0.2156,2.3868,180,Front
R7,100k,0.224,1.9853,180,Front
R8,453k,0.2175,2.5069,0,Front
R9,68k,0.2236,2.0235,0,Front
U1,25MHz_ASE_CLK,0.3327,1.6319,0,Front
U2,4k7,1.4518,2.3613,180,Front
U3,33R,0.8008,1.4256,90,Front
U4,33R,1.0305,1.1191,180,Front
U5,NC7WZ07,1.2787,2.2402,0,Front
U6,NC7WZ07,1.1811,2.2402,0,Front
U7,4k7,1.4551,2.2382,270,Front
U8,MX25L6445EM2I-10,0.9921,2.1821,180,Front
U9,DRAM-2MX16X4,1.2116,0.5325,180,Front
U10,XS1-L1-128,1.2193,1.5461,0,Front
U11,NCP1529,0.3646,2.3494,90,Front
U12,NCP1529,0.3646,1.946,90,Front
U13,NCP303LSN09T1G,0.7787,2.2492,180,Front
U14,82R,1.7156,2.0817,270,Front
U15,TS3A5018PWG4,2.2622,2.3071,90,Front
U16,NC7WZ17,0.387,1.5138,270,Front
##,End,,,,
